scenario,arm,runs,early_sla_violation_rate,early_cumulative_reward,intent1_intent_satisfaction_rate,intent2_intent_satisfaction_rate,intent1_mean_total_dl_th_mbps,intent2_mean_total_dl_th_mbps,intent1_protected_p5_dl_th_mbps,intent2_protected_p5_dl_th_mbps,traffic_step_sla_recovery_mean_s,iperf_mean_received_mbps,iperf_mean_loss_percent,five_ue_coverage,training_actor_saturation_rate,learner_mean_td_error
balanced,llm_guided_ddpg,1,0.0,261.42744913225397,1.0,0.9994444444444445,97.34724070415187,96.43653783163677,32.60332568888889,34.34915603809523,nan,17.8852,40.383,1.0,0.1473888888888889,0.08297040518375101
balanced,llm_only,1,0.0,276.50633281315544,0.9994444444444445,0.9938888888888889,94.57610565444047,92.13534198212727,31.18737504,31.01761165714286,nan,18.366,38.7794,1.0,0.0,0.0
balanced,ddpg_only,1,0.12,157.5548564949428,0.7994444444444444,0.6977777777777778,95.49411373347994,93.73489156748413,25.68737333333333,33.49908242424243,nan,17.8354,40.5486,1.0,0.0039722222222222225,0.055799520754460354
